YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,SERVICE_CLASS,REV_PAX_ENP_110,REV_PAX_MILES_140,REV_PAX_MILES_COACH,REV_PAX_MILES_FIRST,NON_REV_PAX_MILES,REV_TON_MILES_240,REV_TON_MILES_FREIGHT_247,REV_TON_MILES_PAX_241,REV_TON_MILES_USPR_MAIL,REV_TON_MILES_USNONPR_MAIL,REV_TON_MILES_MAIL_249,REV_TON_MILES_FOREIGN_MAIL,REV_TON_MILES_EXPRESS_MAIL,NON_REV_TON_MILES,AVL_TON_MILES_280,AVL_SEAT_MILES_320,AVL_SEAT_MILES_FIRST,AVL_SEAT_MILES_COACH,REV_ACRFT_MILES_FLOWN_410,REV_ACRFT_MILES_SCH_430,REV_ACRFT_MILES_SCH_COMPLETED,REV_ACRFT_DEP_PERF_510,REV_ACRFT_HRS_AIRBORNE_610,ACRFT_HRS_RAMPTORAMP_630
2023,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,F,11420196.00,8932964598.00,0.00,8932964598.00,,901059324.00,7384347.00,893296460.00,,,378517.00,,,,1500238414.00,12230560681.00,12230560681.00,0.00,76810023.00,78767806.00,,109520.00,181035.00,216083.00
2023,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,K,11420196.00,8932964598.00,0.00,8932964598.00,,901059324.00,7384347.00,893296460.00,,,378517.00,,,,1500238414.00,12230560681.00,12230560681.00,0.00,76810023.00,78767806.00,,109520.00,181035.00,216083.00
2023,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,L,2139.00,2680433.00,0.00,2680433.00,,268043.00,0.00,268043.00,,,0.00,,,,356533.00,2911176.00,2911176.00,0.00,18520.00,0.00,,15.00,39.00,46.00
2023,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,V,2910.00,3988189.00,0.00,3988189.00,,398819.00,0.00,398819.00,,,0.00,,,,567818.00,4657635.00,4657635.00,0.00,30733.00,0.00,,22.00,66.00,74.00
2023,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,Z,11423106.00,8936952787.00,0.00,8936952787.00,,901458143.00,7384347.00,893695279.00,,,378517.00,,,,1500806232.00,12235218316.00,12235218316.00,0.00,76840756.00,78767806.00,,109542.00,181101.00,216158.00
2023,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,F,338585.00,350384486.00,0.00,350384486.00,,35091985.00,53537.00,35038449.00,,,0.00,,,,47395400.00,389148453.00,389148453.00,0.00,2587307.00,2588663.00,,2571.00,5877.00,6837.00
2023,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,K,338585.00,350384486.00,0.00,350384486.00,,35091985.00,53537.00,35038449.00,,,0.00,,,,47395400.00,389148453.00,389148453.00,0.00,2587307.00,2588663.00,,2571.00,5877.00,6837.00
2023,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,V,68.00,155924.00,0.00,155924.00,,15592.00,0.00,15592.00,,,0.00,,,,39669.00,327899.00,327899.00,0.00,2293.00,0.00,,1.00,5.00,6.00
2023,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,Z,338653.00,350540410.00,0.00,350540410.00,,35107578.00,53537.00,35054041.00,,,0.00,,,,47435068.00,389476352.00,389476352.00,0.00,2589600.00,2588663.00,,2572.00,5883.00,6843.00
2023,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,F,311268.00,117000393.00,0.00,117000393.00,,11745025.00,41121.00,11700039.00,,,3865.00,,,,20009247.00,155501852.00,155501852.00,0.00,2046077.00,2098326.00,,5343.00,5653.00,7554.00
