YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,SERVICE_CLASS,REV_PAX_ENP_110,REV_PAX_MILES_140,REV_PAX_MILES_COACH,REV_PAX_MILES_FIRST,NON_REV_PAX_MILES,REV_TON_MILES_240,REV_TON_MILES_FREIGHT_247,REV_TON_MILES_PAX_241,REV_TON_MILES_USPR_MAIL,REV_TON_MILES_USNONPR_MAIL,REV_TON_MILES_MAIL_249,REV_TON_MILES_FOREIGN_MAIL,REV_TON_MILES_EXPRESS_MAIL,NON_REV_TON_MILES,AVL_TON_MILES_280,AVL_SEAT_MILES_320,AVL_SEAT_MILES_FIRST,AVL_SEAT_MILES_COACH,REV_ACRFT_MILES_FLOWN_410,REV_ACRFT_MILES_SCH_430,REV_ACRFT_MILES_SCH_COMPLETED,REV_ACRFT_DEP_PERF_510,REV_ACRFT_HRS_AIRBORNE_610,ACRFT_HRS_RAMPTORAMP_630
2025,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,F,10997463.00,8957175759.00,0.00,8957175759.00,,904509444.00,8791868.00,895717576.00,,,0.00,,,,1532597253.00,12471088506.00,12471088506.00,0.00,77112134.00,79145829.00,,102467.00,179760.00,213727.00
2025,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,K,10997463.00,8957175759.00,0.00,8957175759.00,,904509444.00,8791868.00,895717576.00,,,0.00,,,,1532597253.00,12471088506.00,12471088506.00,0.00,77112134.00,79145829.00,,102467.00,179760.00,213727.00
2025,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,L,591.00,620093.00,0.00,620093.00,,62009.00,0.00,62009.00,,,0.00,,,,103860.00,847198.00,847198.00,0.00,5346.00,0.00,,6.00,12.00,14.00
2025,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,V,591.00,620093.00,0.00,620093.00,,62009.00,0.00,62009.00,,,0.00,,,,103860.00,847198.00,847198.00,0.00,5346.00,0.00,,6.00,12.00,14.00
2025,1,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,Z,10998054.00,8957795852.00,0.00,8957795852.00,,904571453.00,8791868.00,895779585.00,,,0.00,,,,1532701113.00,12471935704.00,12471935704.00,0.00,77117480.00,79145829.00,,102473.00,179772.00,213741.00
2025,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,F,304570.00,336119422.00,0.00,336119422.00,,33635110.00,23168.00,33611942.00,,,0.00,,,,48771207.00,397411881.00,397411881.00,0.00,2485895.00,2516850.00,,2328.00,5575.00,6468.00
2025,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,K,304570.00,336119422.00,0.00,336119422.00,,33635110.00,23168.00,33611942.00,,,0.00,,,,48771207.00,397411881.00,397411881.00,0.00,2485895.00,2516850.00,,2328.00,5575.00,6468.00
2025,1,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,Z,304570.00,336119422.00,0.00,336119422.00,,33635110.00,23168.00,33611942.00,,,0.00,,,,48771207.00,397411881.00,397411881.00,0.00,2485895.00,2516850.00,,2328.00,5575.00,6468.00
2025,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,F,465207.00,210621721.00,0.00,210621721.00,,21117392.00,53272.00,21062172.00,,,1948.00,,,,34126222.00,265427796.00,265427796.00,0.00,3492471.00,3597783.00,,7791.00,9294.00,12153.00
2025,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,K,465207.00,210621721.00,0.00,210621721.00,,21117392.00,53272.00,21062172.00,,,1948.00,,,,34126222.00,265427796.00,265427796.00,0.00,3492471.00,3597783.00,,7791.00,9294.00,12153.00
2025,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,L,801.00,469776.00,0.00,469776.00,,46978.00,0.00,46978.00,,,0.00,,,,75902.00,588924.00,588924.00,0.00,7749.00,0.00,,15.00,19.00,24.00
2025,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,V,801.00,469776.00,0.00,469776.00,,46978.00,0.00,46978.00,,,0.00,,,,75902.00,588924.00,588924.00,0.00,7749.00,0.00,,15.00,19.00,24.00
2025,1,1,19687,QX,Horizon Air,06580,D,QX,Horizon Air,2,2,Z,466008.00,211091497.00,0.00,211091497.00,,21164369.00,53272.00,21109150.00,,,1948.00,,,,34202124.00,266016720.00,266016720.00,0.00,3500220.00,3597783.00,,7806.00,9313.00,12177.00
2025,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,F,808902.00,1087737543.00,0.00,1087737543.00,,120349058.00,11543940.00,108773754.00,,,31364.00,,,,231791965.00,1380886095.00,1380886095.00,0.00,6081162.00,6192095.00,,6550.00,13158.00,15455.00
2025,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,K,808902.00,1087737543.00,0.00,1087737543.00,,120349058.00,11543940.00,108773754.00,,,31364.00,,,,231791965.00,1380886095.00,1380886095.00,0.00,6081162.00,6192095.00,,6550.00,13158.00,15455.00
2025,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,P,0.00,0.00,0.00,0.00,,19623009.00,19609828.00,0.00,,,13181.00,,,,40642626.00,0.00,0.00,0.00,593323.00,0.00,,338.00,1249.00,1402.00
2025,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,V,0.00,0.00,0.00,0.00,,19623009.00,19609828.00,0.00,,,13181.00,,,,40642626.00,0.00,0.00,0.00,593323.00,0.00,,338.00,1249.00,1402.00
2025,1,1,19690,HA,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,Z,808902.00,1087737543.00,0.00,1087737543.00,,139972067.00,31153768.00,108773754.00,,,44545.00,,,,272434591.00,1380886095.00,1380886095.00,0.00,6674485.00,6192095.00,,6888.00,14408.00,16857.00
2025,1,1,19690,HA,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,3,3,F,83714.00,343045959.00,0.00,343045959.00,,40978859.00,6654683.00,34304596.00,,,19580.00,,,,85516391.00,447458412.00,447458412.00,0.00,1617054.00,1629369.00,,397.00,3206.00,3391.00
2025,1,1,19690,HA,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,3,3,K,83714.00,343045959.00,0.00,343045959.00,,40978859.00,6654683.00,34304596.00,,,19580.00,,,,85516391.00,447458412.00,447458412.00,0.00,1617054.00,1629369.00,,397.00,3206.00,3391.00
2025,1,1,19690,HA,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,3,3,V,309.00,501507.00,0.00,501507.00,,50151.00,0.00,50151.00,,,0.00,,,,172850.00,902388.00,902388.00,0.00,3246.00,0.00,,2.00,7.00,8.00
2025,1,1,19690,HA,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,3,3,Z,84023.00,343547466.00,0.00,343547466.00,,41029009.00,6654683.00,34354747.00,,,19580.00,,,,85689240.00,448360800.00,448360800.00,0.00,1620300.00,1629369.00,,399.00,3212.00,3399.00
2025,1,1,19790,DL,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,F,9770236.00,10266811028.00,0.00,10266811028.00,,1050339126.00,22020748.00,1026681103.00,,,1637275.00,,,,1828248090.00,12827507316.00,12827507316.00,0.00,73651348.00,75188794.00,,74843.00,166426.00,200729.00
2025,1,1,19790,DL,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,K,9770236.00,10266811028.00,0.00,10266811028.00,,1050339126.00,22020748.00,1026681103.00,,,1637275.00,,,,1828248090.00,12827507316.00,12827507316.00,0.00,73651348.00,75188794.00,,74843.00,166426.00,200729.00
2025,1,1,19790,DL,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,L,29812.00,24354066.00,0.00,24354066.00,,2493650.00,58127.00,2435407.00,,,116.00,,,,15701594.00,54257630.00,54257630.00,0.00,601851.00,0.00,,826.00,1382.00,1736.00
2025,1,1,19790,DL,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,V,31876.00,28045037.00,0.00,28045037.00,,2864083.00,59462.00,2804504.00,,,116.00,,,,17589696.00,66869990.00,66869990.00,0.00,653416.00,0.00,,866.00,1491.00,1860.00
2025,1,1,19790,DL,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,Z,9802112.00,10294856065.00,0.00,10294856065.00,,1053203208.00,22080211.00,1029485607.00,,,1637391.00,,,,1845837786.00,12894377306.00,12894377306.00,0.00,74304764.00,75188794.00,,75709.00,167917.00,202589.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10260,L,DL,Delta Air Lines Inc.,3,3,F,1260994.00,2415079580.00,0.00,2415079580.00,,257150117.00,15426486.00,241507958.00,,,215673.00,,,,414346304.00,2844718983.00,2844718983.00,0.00,14130902.00,14306173.00,,7971.00,29900.00,34111.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10260,L,DL,Delta Air Lines Inc.,3,3,K,1260994.00,2415079580.00,0.00,2415079580.00,,257150117.00,15426486.00,241507958.00,,,215673.00,,,,414346304.00,2844718983.00,2844718983.00,0.00,14130902.00,14306173.00,,7971.00,29900.00,34111.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10260,L,DL,Delta Air Lines Inc.,3,3,L,0.00,0.00,0.00,0.00,,12096.00,6389.00,0.00,,,5708.00,,,,177529.00,0.00,0.00,0.00,8520.00,0.00,,6.00,19.00,22.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10260,L,DL,Delta Air Lines Inc.,3,3,V,123.00,160638.00,0.00,160638.00,,28160.00,6389.00,16064.00,,,5708.00,,,,236633.00,430134.00,430134.00,0.00,10928.00,0.00,,8.00,25.00,28.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10260,L,DL,Delta Air Lines Inc.,3,3,Z,1261117.00,2415240218.00,0.00,2415240218.00,,257178277.00,15432875.00,241524022.00,,,221381.00,,,,414582938.00,2845149117.00,2845149117.00,0.00,14141830.00,14306173.00,,7979.00,29925.00,34140.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10261,A,DL,Delta Air Lines Inc.,3,3,F,641489.00,2768836127.00,0.00,2768836127.00,,342818238.00,63526644.00,276883613.00,,,2407982.00,,,,613852331.00,3446612017.00,3446612017.00,0.00,13095532.00,13214213.00,,3043.00,25434.00,27229.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10261,A,DL,Delta Air Lines Inc.,3,3,K,641489.00,2768836127.00,0.00,2768836127.00,,342818238.00,63526644.00,276883613.00,,,2407982.00,,,,613852331.00,3446612017.00,3446612017.00,0.00,13095532.00,13214213.00,,3043.00,25434.00,27229.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10261,A,DL,Delta Air Lines Inc.,3,3,L,420.00,1760220.00,0.00,1760220.00,,176022.00,0.00,176022.00,,,0.00,,,,412122.00,2363724.00,2363724.00,0.00,8382.00,0.00,,2.00,16.00,17.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10261,A,DL,Delta Air Lines Inc.,3,3,V,420.00,1760220.00,0.00,1760220.00,,176022.00,0.00,176022.00,,,0.00,,,,412122.00,2363724.00,2363724.00,0.00,8382.00,0.00,,2.00,16.00,17.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10261,A,DL,Delta Air Lines Inc.,3,3,Z,641909.00,2770596347.00,0.00,2770596347.00,,342994260.00,63526644.00,277059635.00,,,2407982.00,,,,614264453.00,3448975741.00,3448975741.00,0.00,13103914.00,13214213.00,,3045.00,25451.00,27246.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10262,P,DL,Delta Air Lines Inc.,3,3,F,243396.00,1525657247.00,0.00,1525657247.00,,185875594.00,32197424.00,152565725.00,,,1112445.00,,,,308949520.00,1914309642.00,1914309642.00,0.00,6601870.00,6683955.00,,1067.00,12769.00,13421.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10262,P,DL,Delta Air Lines Inc.,3,3,K,243396.00,1525657247.00,0.00,1525657247.00,,185875594.00,32197424.00,152565725.00,,,1112445.00,,,,308949520.00,1914309642.00,1914309642.00,0.00,6601870.00,6683955.00,,1067.00,12769.00,13421.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10262,P,DL,Delta Air Lines Inc.,3,3,L,,0.00,0.00,0.00,,0.00,0.00,0.00,,,0.00,,,,188350.00,0.00,0.00,0.00,4803.00,0.00,,1.00,9.00,9.00
2025,1,1,19790,DL,Delta Air Lines Inc.,10262,P,DL,Delta Air Lines Inc.,3,3,V,,0.00,0.00,0.00,,0.00,0.00,0.00,,,0.00,,,,188350.00,0.00,0.00,0.00,4803.00,0.00,,1.00,9.00,9.00
